donald,trump,0.9549738219895287
virus,coronavirus,0.5054478562331965
jobs,zealand,0.498361763215673
cases,covid19,0.478740022315681
trump,donald,0.44417387069280406
nz,zealand,0.434578772013327
cases,coronavirus,0.4208222470174234
health,covid19,0.3988219895287958
cases,health,0.36723028066260405
cases,zealand,0.3291391296884388
level,covid19,0.3270134788904979
minister,zealand,0.32094240837696336
health,cases,0.31112565445026175
nz,covid19,0.2965492622560685
world,coronavirus,0.2941456449309852
level,zealand,0.2890275147599421
zealand,covid19,0.27089801292060867
death,coronavirus,0.2704302299112224
health,coronavirus,0.26257998836532864
death,covid19,0.23034372865923056
level,coronavirus,0.21677620585941854
covid19,zealand,0.2144609268954819
pandemic,coronavirus,0.20521283860687456
health,zealand,0.19594240837696336
covid19,coronavirus,0.17461702540236573
coronavirus,covid19,0.15715532286212916
covid19,cases,0.13519972852433584
covid19,health,0.1329406631762653
work,coronavirus,0.1236910994764398
zealand,cases,0.1174122041578641
zealand,nz,0.11182143841278588
coronavirus,cases,0.10695898778359511
zealand,coronavirus,0.10541624567527019
zealand,jobs,0.09034628455956645
zealand,health,0.08250206668503719
zealand,level,0.07944031107437004
zealand,minister,0.0788279599522366
coronavirus,health,0.07877399650959861
coronavirus,virus,0.07792321116928447
coronavirus,zealand,0.07510907504363001
covid19,level,0.07115571068450649
coronavirus,world,0.06740837696335078
covid19,nz,0.06040818305216211
coronavirus,death,0.0518324607329843
covid19,death,0.04905468295520652
coronavirus,level,0.04245200698080279
coronavirus,pandemic,0.03933246073298429
coronavirus,work,0.02886125654450261
